Ability_Firecat4_tooltip_flavor,
Ability_Firecat4_IMPACT_effect,"Fire и Ice начинают произносить заклинание длительностью 1.25 сек. По завершении заклинания Gemini возрождается в текущем местоположении со здоровьем и маной соответствующими в процентном отношении наибольшим значениям у Fire и Ice. Чтобы произнести заклинание, Fire и Ice должны находиться на расстоянии не более 300 ед. друг от друга. Заклинание прервётся, если одна из сущностей будет оглушена или обезмолвлена."
Ability_Firecat4_CHANNEL_START_effect,
Ability_Firecat4_CHANNEL_END_effect,
Heropet_Gemini_Ability4_Ice_name,Ice
Ability_Icecat1_name,Ice Breath
Ability_Icecat1_description,"Ice выдыхает стужу в конусе перед собой, нанося урон и замораживая противников."
Ability_Icecat1_description2,
Ability_Icecat1_description_simple,"Укажите воина или место, чтобы в конусе нанести ^o{100,175,250} ед. магического урона^* и ^oуменьшает скорость передвижения^* задетых воинов ^oна {15,25,35}% на 3 сек.^*"
Ability_Icecat1_tooltip_flavor,
Ability_Icecat1_IMPACT_effect,"Наносит ^o{100,175,250} ед. магического урона^* в области шириной 90 градусов и дальностью 600 ед. Уменьшает скорость передвижения задетых воинов на {15,25,35}% на 3 сек."
State_Icecat_Ability1_name,Ice Breath
Ability_Icecat2_name,Ice Fang
Ability_Icecat2_description,"Ice, подобно ледяной игле, бросается на врага, нанося ему урон и ненадолго оглушая."
Ability_Icecat2_description2,
Ability_Icecat2_description_simple,"Укажите врага, чтобы броситься на него, нанести ^o{60,120,180} ед. магического урона^* и ^oоглушить на 0.5 сек^*."
Ability_Icecat2_tooltip_flavor,
Ability_Icecat2_IMPACT_effect,"Перемещается к цели, нанося {60,120,180} ед. магического урона и оглушая на 0.5 сек."
Ability_Icecat3_name,Together in Spirit
Ability_Icecat3_description,"Fire и Ice едины даже на расстоянии, поэтому они способны в считанные секунды перемещаться друг к другу в любой момент."
Ability_Icecat3_description2,
Ability_Icecat3_description_simple,"Активируйте, чтобы начать произносить заклинание длительностью в ^o3 сек^*. По завершении заклинания Ice мгновенно перенесется к Fire."
Ability_Icecat3_IMPACT_effect,"После произнесения заклинания длительностью в 3 сек., переносит Ice к Fire."
Ability_Icecat3_CHANNEL_START_effect,
Ability_Icecat3_CHANNEL_END_effect,
Ability_Icecat4_name,Rebirth
Ability_Icecat4_description,"Fire и Ice вновь воссоединяются, порождая Gemini."
Ability_Icecat4_description2,
Ability_Icecat4_description_simple,"Активируйте, чтобы начать произносить заклинание длительностью ^o1.25 сек^*. По завершении заклинания ^oGemini возрождается^* в текущем местоположении со здоровьем и маной соответствующими в процентном отношении наибольшим значениям у Fire и Ice. Нельзя активировать, если Fire и Ice находятся на расстоянии ^oболее 300 ед. друг от друга^*."
Ability_Icecat4_IMPACT_effect,"Fire и Ice начинают произносить заклинание длительностью 1.25 сек. По завершении заклинания Gemini возрождается в текущем местоположении со здоровьем и маной соответствующими в процентном отношении наибольшим значениям у Fire и Ice. Чтобы произнести заклинание, Fire и Ice должны находиться на расстоянии не более 300 ед. друг от друга. Заклинание прервётся, если одна из сущностей будет оглушена или обезмолвлена."
Ability_Icecat4_CHANNEL_START_effect,
Ability_Icecat4_CHANNEL_END_effect,
Hero_Gemini_name,Gemini
Hero_Gemini_description,"Обычно огонь и лёд не выносят друг друга и сочетаются из рук вон плохо, но в случае с Gemini они гармонично слились в единое целое. Вокруг могучего духа стихий исходит холод и танцуют языки пламени. Gemini ошарашивает врагов своей противоречивостью. Историю его происхождения знают немногие, а понимают и вовсе единицы. Поговаривают, что на самом деле это не одно существо, а две сущности, слившихся воедино."
Hero_Gemini_role,"Gemini - кэрри ближнего боя, имеющий уникальную возможность разделяться надвое с помощью способности Fire and Ice. Эта способность дает герою непревзойденную мобильность и гибкость, позволяя быть в двух местах одновременно."
Ability_Geomancer1_name,Dig
Ability_Geomancer1_description,"Geomancer зарывается под землю, быстро двигается вперёд, а затем выкапывается из недр, оглушая врагов поблизости."
Ability_Geomancer1_description_simple,"Укажите направление, в котором ваш герой совершит рывок под землей, а затем выкапывается на поверхность через ^o1250 ед.^* или при повторной активации способности.\n\nОказавшись на поверхности, наносит ^o{100,150,200,250} ед. магического урона^* врагам поблизости и ^oоглушает их на 1.5 сек.^*"
Ability_Geomancer1_description:Geomancerburrow,"Выкапывается, нанося урон и оглушая врагов поблизости."
Ability_Geomancer1_description_simple:Geomancerburrow,"Выкапывается, нанося ^o{100,150,200,250} ед. магического урона^* врагам поблизости и ^oоглушая их на 1.5 сек.^*"
Ability_Geomancer1_IMPACT_effect,"Закапывается и движется в указанном направлении, становясь неуязвимым, пока находится под землей.n\nАктивируйте повторно для выкапывания на поверхность. Наносит {100,150,200,250} ед. магического урона врагам в области 250 ед. и оглушает их на 1.5 сек.\n\nКогда герой находится под землёй, можно активировать способности и использовать предметы."
Ability_Geomancer1_IMPACT_effect:Geomancerburrow,"Активируйте чтобы выкопаться, нанести {100,150,200,250} ед. магического урона и оглушить на 1.5 сек. врагов в области."
Ability_Geomancer1_tooltip_flavor,Продолжайте копать... Шутка должна быть где-то там.
State_Geomancer_Ability1_Self_name,Digging
State_Geomancer_Ability1_Self_FRAME_effect,Невыделяемый
Ability_Geomancer2_name,Earth's Grasp
Ability_Geomancer2_description,
Ability_Geomancer2_description_simple,
Ability_Geomancer2_IMPACT_effect,
Ability_Geomancer2_tooltip_flavor,Да пребудет с тобой кристалл.
State_Geomancer_Ability2_name,Earth's Grasp
State_Geomancer_Ability2_FRAME_effect,"{15,30,45,60} ед. магического урона в сек.\n\nУрон уменьшен на 50% при передвижении"
Ability_Geomancer3_name,Geo Stalk
Ability_Geomancer3_description,
Ability_Geomancer3_description_simple,
Ability_Geomancer3_description_simple:geomancer_ability3_Burrowed,
Ability_Geomancer3_IMPACT_effect,
Ability_Geomancer3_IMPACT_effect:geomancer_ability3_Burrowed,
Ability_Geomancer3_tooltip_flavor,
Gadget_Geomancer_Ability3_Mark_name,Vibration
Gadget_Geomancer_Ability3_Mark_Small_name,Vibration (Small)
State_Geomancer_Ability3_name,Burrowed
State_Geomancer_Ability3_FRAME_effect,
Ability_Geomancer4_name,Crystal Field
Ability_Geomancer4_name:ult_boost,Crystal Eruption ^g(Усилено)^*
Ability_Geomancer4_description,
Ability_Geomancer4_description2,
Ability_Geomancer4_description2:ult_boost,^gСпособность усилена Staff of the Master.^*
Ability_Geomancer4_description_simple,
Ability_Geomancer4_description_simple:ult_boost,
Ability_Geomancer4_IMPACT_effect,
Ability_Geomancer4_IMPACT_effect:ult_boost,
State_Geomancer_Ability4_name,Crystal Field
State_Geomancer_Ability4_FRAME_effect,
State_Geomancer_Ability4_Disabled_name,Crystal Field
State_Geomancer_Ability4_Disabled_FRAME_effect,
State_Geomancer_Ability4_Slow_name,Crystal Snare
Hero_Geomancer_name,Geomancer
Hero_Geomancer_description,"Когда человек отвернулся от Света, предался грехам, зверствам и убийствам, первородные черви Geomancers пробудились и начали рыть туннели под поверхностью Hivelands на запах страданий. Вслед за ними шли орды демонов, жаждущих собрать жатву человеческих бед и насытиться ими. ""По всему миру стали появляться большие разломы, похожие на язвы на земле. Оставшиеся дрожать во тьме, называли их вратами преисподней. Из них и возникла Преисподня». 
Geomancer Rithe прорвался через жертвенную святыню и первым вкусил плоть выводка Moon Queen. Он был последним, кто вернулся в глубины подземного мира, когда пища и души оскуднели, а агония закончилась. На протяжении многих лет он пировал кровью и болью тех, кто был пойман во время Первой Порчи. Когда Maliken Grimm, король Новоземья, бежал в пустыню и впал в безумие, Rithe и другие Geomancers снова пробудились."
Hero_Geomancer_role,"Geomancer - ганкер и командный боец, с различными контролирующими и обезвреживающими заклинаниями, которые действуют по области. Впрочем, от его заклинаний можно уклониться, поэтому лучше всего быть в паре с более надёжным героем, у которого есть обездвиживающие способности."
Ability_Gladiator1_name,Pitfall
Ability_Gladiator1_description,"На аренах гладиаторских боёв полным-полно западней и ловушек. Gladiator прекрасно усвоил уроки арен и пользуется ими повсюду, устраивая западни с шипами, которые срабатывают после задержки. Задетые шипами воины оглушаются, получают урон и замедляются."
Ability_Gladiator1_description_simple,"Укажите место для создания Pitfall. После ^oзадержки в 1.5 сек.^* наносит вражеским воинам в указанной области ^o{120,180,240,300} магического урона^*, подбрасывает их в воздух на ^o1.53 сек.^* и накладывает ^oуменьшение скорости передвижения на 30%^* на ^o{1,2,3,4} сек.^*\n\nПри срабатывании Pitfall временно развеивает туман войны."
Ability_Gladiator1_description2,
Ability_Gladiator1_effect_header,Эффект(-ы) Spiked!
Ability_Gladiator1_effect_header2,
Ability_Gladiator1_tooltip_flavor,Ты падёшь... то есть воспаришь!
Ability_Gladiator1_IMPACT_effect,"Создает в указанном месте Pitfall, который виден только союзникам. После задержки в 1.5 сек. Pitfall наносит {120,180,240,300} магического урона врагам в области действия, подбрасывает их в воздух на 1.53 сек. и накладывает эффект Spiked! на {1,2,3,4} сек.n\n\При срабатывании развеивает туман войны вокруг Pitfall в радиусе 400 ед."
State_Gladiator_Ability1_name,Spiked!
State_Gladiator_Ability1_description,
State_Gladiator_Ability1_description2,
State_Gladiator_Ability1_effect_header,None
State_Gladiator_Ability1_effect_header2,None
State_Gladiator_Ability1_tooltip_flavor,None
Ability_Gladiator2_name,Showdown
Ability_Gladiator2_description,"Для гладиаторов сражения один на один - дело привычное. Gladiator может в любой момент вызвать кого-то на поединок. Скоро вызванный воин вернётся на прежнее место, где его ждёт бой!"
Ability_Gladiator2_description_simple,"Укажите воина для того, чтобы пометить место его нахождения. Если способность Showdown была активирована повторно, или после ^o{2,3,4,5} сек.^* указанная цель вернется на место отмеченное место. Временно развеивает туман войны вокруг метки."
Ability_Gladiator2_description2,
Ability_Gladiator2_effect_header,Эффект(-ы) Challenged to Fight
Ability_Gladiator2_effect_header2,
Ability_Gladiator2_tooltip_flavor,Не убегай! Мы сразимся у башни!
Ability_Gladiator2_IMPACT_effect,"Создает колизей в месте, где находится цель. Накладывает на цель эффект Challenged to Fight на {2,3,4,5} сек.\n\nПовторная активация способности досрочно телепортирует воина в колизей. Не телепортирует обратно воинов с магическим иммунитетом.\n\nНа 5 сек. развеивает туман войны в радиусе 1000 ед. от колизея."
Ability_Gladiator2_name:gladiator_return,I Have No Patience
Ability_Gladiator2_description:gladiator_return,Терпение несвойственно Gladiator. Он в любое время может вернуть вызванную цель и возобновить прерванную схватку.
Ability_Gladiator2_description_simple:gladiator_return,"Активируйте, чтобы телепортировать цель способности Showdown обратно в отмеченное место."
Ability_Gladiator2_tooltip_flavor:gladiator_return,
Ability_Gladiator2_IMPACT_effect:gladiator_return,Мгновенно телепортирует отмеченную цель обратно в колизей.
State_Gladiator_Ability2_name,Challenged to Fight
State_Gladiator_Ability2_description,
State_Gladiator_Ability2_description2,
State_Gladiator_Ability2_effect_header,None
State_Gladiator_Ability2_effect_header2,None
State_Gladiator_Ability2_tooltip_flavor,None
State_Gladiator_Ability2_FRAME_effect,По истечении времени будет телепортирован обратно в колизей.
Ability_Gladiator3_name,Flagellation
Ability_Gladiator3_description,"Только слабаки умеют владеть всего одним видом оружия. Gladiator искусно обращается с разным оружием. Помимо меча, в бою он пользуется кнутом, которым легко достаёт врагов на расстоянии."
Ability_Gladiator3_description_simple,"Когда способность восстановлена, пассивно дает следующей атаке ^o{15,30,45,60} ед. дополнительного урона^* и ^o100% чистого урона в радиусе {380,420,460,500} ед.^*"
Ability_Gladiator3_description2,
Ability_Gladiator3_effect_header,
Ability_Gladiator3_effect_header2,
Ability_Gladiator3_tooltip_flavor,Сомневаешься - бей кнутом.
Ability_Gladiator3_FRAME_effect,
Ability_Gladiator3_ATTACK_START_effect,
Ability_Gladiator3_ATTACK_IMPACT_effect,"Когда способность восстановлена, дает {15,30,45,60} ед. урона.\n\nСледующая атака по вражескому войну нанесёт 100% чистого урона в радиусе {380,420,460,500} ед.\n\nПри атаке башни или строения запускает восстановление способности, но не наносит чистый урон в области. При атаке союзных воинов восстановление способности не запускается."
Ability_Gladiator4_name,Call to Arms
Ability_Gladiator4_description,"У гладиаторов часто бывают неожиданные союзники. Gladiator может призвать колесницу, которая воодушевляет союзников и давит врагов."
Ability_Gladiator4_description_simple,"Призывает колесницу, которая помчится к указанному месту.\n\nСоюзники на пути колесницы получат ^oувеличение скорости передвижения на 10%^* и ^oпоглощение входящего урона на 50%^* на ^o{5,6,7} сек.^* Поглощенный урон выльется в потерю здоровья по завершении эффекта.\n\nВраги в конечной точке колесницы получат ^o{300,400,500} ед. магического урона^* и будут ^oоглушены на 1 сек.^* Колесница временно развеивает туман войны вокруг себя во время движения и в конечной точке."
Ability_Gladiator4_description2,
Ability_Gladiator4_effect_header,Call to Arms Effect(s)
Ability_Gladiator4_effect_header2,
Ability_Gladiator4_tooltip_flavor,Это не Спарта... ЭТО НОВОЗЕМЬЕ!
Ability_Gladiator4_IMPACT_effect,"Призывает колесницу, которая появляется за вашим героем и проезжает 2000 ед. в указанном направлении. Проезжая сквозь союзников накладывает на них эффект Call to Arms на {5,6,7} сек.\n\nДоехав до конечной точки, колесница наносит {300,400,500} ед. магического урона врагам в радиусе 450 ед. и оглушает их на 1 сек.\n\nКолесница развеивает туман войны в радиусе 800 ед., видимость сохраняется 6 сек."
State_Gladiator_Ability4_name,Call To Arms
State_Gladiator_Ability4_description,
State_Gladiator_Ability4_description2,
State_Gladiator_Ability4_effect_header,None
State_Gladiator_Ability4_effect_header2,None
State_Gladiator_Ability4_tooltip_flavor,None
State_Gladiator_Ability4_FRAME_effect,"Поглощает 50% получаемого урона\nПоглощённый урон возвращается в течение {5,6,7} сек. по окончании действия эффекта\n\nТип урона: прямая потеря здоровья"
State_Gladiator_Ability4_Damage_name,Call to Arms Buffer Damage
State_Gladiator_Ability4_Damage_FRAME_effect,"Наносит Gladiator урон, поглощённый эффектом Call to Arms, в виде прямой потери здоровья"
Hero_Gladiator_name,The Gladiator
Hero_Gladiator_description,"Хотя испытание поединков давно объявлено Легионом вне закона, на задворках цивилизации остались племена, прибегающие к такому решению споров. Когда Легион и Преисподняя вступили в противостояние, Gladiator отправился искать достойных противников. Каждый щелчок его могучего кнута несёт смерть одному из демонов."
Hero_Gladiator_role,"Gladiator делает упор на способность Flagellation как на возможность одновременно изводить врагов и получать золото. По мере хода игры, опытным игрокам пригодится умение грамотно активировать способности Pitfall и Call to Arms для полного уничтожения команды противников."
Ability_Grinex1_name,Shadow Step
Ability_Grinex1_description,"Сквозь тьму Grinex прыгает на врага, толкает его в указанном направлении, наносит урон, а также оглушает цель, если она сталкивается с каким-либо объектом."
Ability_Grinex1_description2,
Ability_Grinex1_description_simple,"Щёлкните мышкой по врагу и поведите курсором в направлении, в котором ваш герой и указанная цель будут перемещены. Наносит ^o{50,80,110,140} ед. магического урона^* цели.\n\nЕсли цель столкнётся с героем, скалой, деревом или строением, она будет ^oоглушена на {1.0,1.2,1.4,1.6} сек.^* и получит ^o{30,60,90,120} ед. магического урона^*."
Ability_Grinex1_effect_header,
Ability_Grinex1_effect_header2,
Ability_Grinex1_tooltip_flavor,"Важно выбрать, куда идти."
Ability_Grinex1_IMPACT_effect,"Прыгает к цели и толкает её на 450 ед. в указанном направлении, нанося {50,80,110,140} ед. магического урона. Если цель столкнётся со скалой, деревом, строением, союзным или вражеским героя, цель и вражеский герой, с которым произошло столкновение, получат {30,60,90,120} ед. магического урона и будут оглушены на {1,1.2,1.4,1.6} сек."
Ability_Grinex2_name,Rift Stalk
Ability_Grinex2_description,"Grinex быстро движется сквозь тени, дающие ему невидимость и скорость передвижения."
Ability_Grinex2_description2,
Ability_Grinex2_description_simple,"Активируйте, чтобы увеличить ^oскорость передвижения на 25%^* и получить в ^oневидимость^* с временем исчезновения в 1 сек. на ^o{6,7,8,9} сек.^* Вы можете один раз атаковать, не выходя из невидимости.\n\nМаксимальное количество зарядов: 2. Заряд восстанавливается каждые ^o{20,18,16,14}^* сек."
Ability_Grinex2_effect_header,Эффект(-ы) Rift Stalk
Ability_Grinex2_effect_header2,
Ability_Grinex2_tooltip_flavor,Преследование? Лучше назвать это чрезмерным наблюдением.
Ability_Grinex2_IMPACT_effect,"Накладывает на себя эффект Rift Stalk на {6,7,8,9} сек. Любые действия во время исчезновения до получения невидимости не рассеивают эффект. Вы можете один раз атаковать, не выходя из невидимости.\n\nЗаряд восстанавливается каждые {20,18,16,14} сек. Максимум 2 заряда."
State_Grinex_Ability2_name,Rift Stalk
State_Grinex_Ability2_description,
State_Grinex_Ability2_description2,
State_Grinex_Ability2_description_simple,
State_Grinex_Ability2_FRAME_effect,Невидимость с временем исчезнования в 1 сек.
State_Grinex_Invis_Ability2_name,Rift Stalk
State_Grinex_Invis_Ability2_description,"Вы можете один раз атаковать, не выходя из невидимости"
State_Grinex_Invis_Ability2_description2,
State_Grinex_Invis_Ability2_description_simple,
Ability_Grinex3_name,Nether Strike
Ability_Grinex3_description,Тёмная сила способностей Grinex увеличивает урон его следующей атаки.
Ability_Grinex3_description2,
Ability_Grinex3_description_simple,"Пассивно добавляет к следующей атаке ^o{40,60,80,100} ед. физического урона^* после активации любой способности."
Ability_Grinex3_effect_header,Эффект(-ы) Nether Strike
Ability_Grinex3_effect_header2,
Ability_Grinex3_tooltip_flavor,"Они не увидят, кто пришел."
Ability_Grinex3_ABILITY_IMPACT_effect,Накладывает на Grinex эффект Nether Strike на 9 сек.
State_Grinex_Ability3_name,Nether Strike
State_Grinex_Ability3_description,
State_Grinex_Ability3_description2,
State_Grinex_Ability3_description_simple,
State_Grinex_Ability3_FRAME_effect,"Ваша следующая атака нанесёт дополнительно  {40,60,80,100} ед. физического урона"
State_Grinex_Ability3_Armor_name,Nether Strike
Ability_Grinex4_name,Illusory Assault
Ability_Grinex4_description,"Связь Grinex с подземным миром позволяет ему призывать родственные тени, которые атакуют врагов и скрывают самого героя."
Ability_Grinex4_description2,
Ability_Grinex4_description_simple,"Активируйте, чтобы сделать вашего героя невидимым и призвать тени на всех врагов поблизости. Первую атаку тени совершают с эффектом ^oNether Strike^*.\n\nТени наносят до ^o{200,300,400} ед. физического урона^* за ^o{5,6,7} сек.^* и оставляют за собой теневую тропу.\n\nНахождение на тропе увеличивает ^oскорость передвижения на 15%^* и дает ^oневидимость^* с временем исчезновения в 1 сек."
Ability_Grinex4_effect_header,Эффект(-ы) Illusory Assault
Ability_Grinex4_effect_header2,
Ability_Grinex4_tooltip_flavor,Познакомься с моими маленькими друзьями.
Ability_Grinex4_IMPACT_effect,"Призывает тени Grinex на всех вражеских героев в радиусе действия. Первую атаку тени совершают с эффектом ^oNether Strike^*. Тени наносят до ^o{200,300,400} ед. физического урона^* и оставляют за собой теневую тропу на 6 сек. Время существования теней ^o{5,6,7} сек.^*\n\nНакладывает эффект Illusory Assault на Grinex, пока ваш герой находится на тропе, эффект действует еще 1 сек. после схода с тропы.\n\nТени передвигаются со скоростью 750 ед., пока не нанесут первый удар, после которого их скорость передвижения уменьшается до 560 ед. Способность развеивает туман войны на 300 ед. вокруг целей и делает их видимыми на время действия способности."
State_Grinex_Ability4_name,Illusory Assault
State_Grinex_Ability4_description,"Получает невидимость и призывает иллюзии, атакующие всех вражеских героев поблизости в течение ^o{5,6,7}^* сек., нанося до ^o{200,300,400} ед. физического урона^*.\n\nИллюзии оставляют за собой теневую тропу на 6 сек., попав на которую, ваш герой получает невидимость с временем исчезновения в 1 сек. и увеличивает скорость передвижения на 15%, пока находится на ней."
State_Grinex_Ability4_description2,
State_Grinex_Ability4_description_simple,
State_Grinex_Ability4_ATTACK_START_effect,
State_Grinex_Ability4_ATTACK_effect,
State_Grinex_Ability4_Path_name,Illusory Assault
State_Grinex_Ability4_Path_FRAME_effect,
Hero_Grinex_name,Grinex
Hero_Grinex_description,"В Новоземье давно ходят слухи о Великом Разломе - крае вечной тьмы, в котором живут невероятные существа. В поисках силы, многие из жителей Новоземья пытались проникнуть в это место, но преуспели в этом деле лишь немногие, одной из которых была Valreia Riftwalker. Преисподняя не преминула заручиться её помощью в войне против Легиона, что привело к появлению разломов в разных частях Новоземья и одного опасного создания из них. Даже в тьме Великого Разлома есть ужас, и это существо, известное  как Grinex, является воплощением страха. Злая сущность оказалась заперта в непонятном и новом для неё мире, а потому стала искать Riftwalker, чтобы вернуться в привычную ей тьму. С тех пор познавшая силу Великого разлома женщина успела стать заносчивой и властной. Она не ведает, что жить ей осталось недолго, потому, что сквозь тени за ней идёт Grinex!"
Hero_Grinex_role,"Grinex Riftstalker - ганкер, использующий различные уловки, такие как невидимость, чтобы подкрасться и уничтожить своих врагов. Grinex силён на ранней стадии игры, пока вражеская команда еще уязвима."
Ability_Gunblade1_name,Crippling Slugs
Ability_Gunblade1_description,"Трижды выстреливает в указанном направлении, нанося урон и замедляя противников."
Ability_Gunblade1_description2,
Ability_Gunblade1_description_simple,"Укажите область, чтобы сделать три быстрых выстрела в ее направлении. Каждая пуля наносит задетым противникам ^o{30,50,70,90} ед. физического урона^* и накладывает на них ^o{8,11,14,17}% уменьшения скорости передвижения^*. Этот эффект суммируется."
Ability_Gunblade1_effect_header,
Ability_Gunblade1_effect_header2,
Ability_Gunblade1_tooltip_flavor,Шта блят
Ability_Gunblade1_IMPACT_effect,"Выстреливает три пули в указанном направлении. Каждая пуля наносит {30,50,70,90} ед. физического урона и накладывает на них ^o{8,11,14,17}% уменьшения скорости передвижения^* на 3 сек. Этот эффект суммируется."
State_Gunblade_Ability1_Slow_name,Crippling Slugs
State_Gunblade_Ability1_Slow_description,Замедлен пулями!
Ability_Gunblade2_name,Demonic Shield
Ability_Gunblade2_description,"Временно закрывает Gunblade щитом, поглощающим урон и увеличивающим скорость передвижения."
Ability_Gunblade2_description2,
Ability_Gunblade2_description_simple,"Активируйте, чтобы получить ^oщит, поглощающий урон в размере {60,100,140,180} ед. + {0.75,1,1.25,1.5} * ловкость^*.\n\nЩит действует 8 сек. и увеличивает ^oскорость передвижения на {20,40,60,80} ед.^*, пока существует."
Ability_Gunblade2_effect_header,
Ability_Gunblade2_effect_header2,
Ability_Gunblade2_tooltip_flavor,"Жаль, что эти пистолеты не стреляют..."
Ability_Gunblade2_IMPACT_effect,"Создает на 8 сек. щит, поглощающий уменьшенный бронёй урон в размере {60,100,140,180} ед. + {75,100,125,150}%от  вашей ловкости. На время действия щита увеличивает скорость передвижения на {20,40,60,80} ед."
State_Gunblade_Ability2_name,Demonic Shield
State_Gunblade_Ability2_description,Поглощает урон и быстрее передвигается!
State_Gunblade_Ability2_Alt_name,Demonic Shield
State_Gunblade_Ability2_Alt_description,Поглощает урон и быстрее передвигается!
State_Gunblade_Ability2_Alt2_name,Demonic Shield
State_Gunblade_Ability2_Alt2_description,Поглощает урон и быстрее передвигается!
State_Gunblade_Ability2_Alt3_name,Demonic Shield
State_Gunblade_Ability2_Alt3_description,Поглощает урон и быстрее передвигается!
Ability_Gunblade3_name,Lethal Range
Ability_Gunblade3_description,"Ваши атаки наносят тем больше урона, чем вы ближе к цели."
Ability_Gunblade3_description2,
Ability_Gunblade3_description_simple,"Пассивно увеличивает урон от ваших атак в зависимости от расстояния до цели, ^oдополнительно нанося до {20,30,40,50}% от вашего базового урона^*. Эффект ослабевает по мере удаления от цели, исчезая полностью на расстоянии 600 ед.\n\nНа расстоянии до 200 ед. Gunblade наносит дополнительно ^o{30,45,60,75}% от базового урона и никогда не промахивается^* (^существа^*, получают лишь ^oполовину^* урона от этой способности)."
Ability_Gunblade3_effect_header,
Ability_Gunblade3_effect_header2,
Ability_Gunblade3_tooltip_flavor,"Пожалуйста, уважайте моё личное пространство."
Ability_Gunblade3_IMPACT_effect,
Ability_Gunblade3_ATTACK_effect,"Ваши атаки по целям в радиусе 200 ед. не промахиваются и наносят дополнительно {30,45,60,75}% от вашего базового урона. Существа получают половину урона от этой способности.\n\nНа расстоянии более 200 ед. ваши атаки наносят дополнительно до {20,30,40,50}% от вашего базового урона. Эффект ослабевает по мере удаления от цели, полностью исчезая на расстоянии 600 ед."
Ability_Gunblade4_name,Grappling Shot
Ability_Gunblade4_description,Привяжите себя к цели!
Ability_Gunblade4_description2,
Ability_Gunblade4_description_simple,"Укажите вражеского героя, чтобы ^oпривязать себя к нему^* и ^oсковать^* его на 4 сек. Наносит цели ^o{100,200,300} ед. физического урона^*, оглушает на ^o1 сек.^* и ^oуменьшает броню на {3,5,7} ед.^* на 8 сек.\n\nСпособность можно активировать повторно, чтобы отпустить цель."
Ability_Gunblade4_effect_header,
Ability_Gunblade4_tooltip_flavor,Пока смерть не разлучит нас.
Ability_Gunblade4_IMPACT_effect,"Привязывает вас к указанной цели, нанося цели ^o{100,200,300} ед. физического урона^*, оглушая на ^o1 сек.^* и ^oуменьшая броню на {3,5,7} ед.^* на 8 сек. Пока вы связаны с противником, вы будете передвигаться вместе с ним и можете свободно атаковать. Во время действия способности противник скован, видим и обнаружен. \n\nСпособность можно активировать повторно, чтобы отпустить цель."
State_Gunblade_Ability4_name,Grappled
State_Gunblade_Ability4_Reduced_name,Grappling Shot
State_Gunblade_Ability4_Reduced_description,Броня уменьшена!
State_Gunblade_Ability4_Reduced_Alt2_name,Grappling Shot
State_Gunblade_Ability4_Reduced_Alt2_description,Броня уменьшена!
State_Gunblade_Ability4_Reduced_Alt3_name,Grappling Shot
State_Gunblade_Ability4_Reduced_Alt3_description,Броня уменьшена!
State_Gunblade_Ability4_Reveal_name,Grappled
State_Gunblade_Ability4_Reveal_description,
Hero_Gunblade_name,Gunblade
Hero_Gunblade_description,"Всё знакомое и дорогое ему было разорвано дикими зверями. Он услышал собственные вопли, которые шершнями впивались в уши. Забывшись, он упал на колени, вытащил нож и начал вырезать дьявольскую метку на собственном теле. Боль исчезла, сменившись жаждой мести. Скоро метка была закончена и наполненная гневом кровь скрепила договор. Мольба отныне проклятого воина была услышана. Он обрёл желанную силу и возможность отомстить. Два горячих пистолета тяжело легли в его ладони. Так появился Адский рейнджер Gunblade, в прошлом слуга закона, а теперь - шериф проклятых."
Hero_Gunblade_role,"Gunblade - универсальный кэрри дальнего боя. В отличие от других стрелков, он предпочитает держаться поближе к цели. Комбинация способностей Grappling Shot, Crippling Slugs и Lethal Range смертельна для любого противника, вставшего на его пути."
Ability_Hammerstorm1_name,Hammer Throw
Ability_Hammerstorm1_description,"Hammerstorm бросает свой гигантский молот в указанного врага, нанося урон и оглушая всех в месте падения."
Ability_Hammerstorm1_description_simple,"Укажите противника, чтобы нанести ^o{100,175,250,325} ед. магического урона^* и наложить ^oоглушение на 2 сек.^* в области вокруг цели."
Ability_Hammerstorm1_effect_header,Эффект(-ы) Hammer Throw
Ability_Hammerstorm1_IMPACT_effect,"Бросает молот, наносящий {100,175,250,325} ед. магического урона и оглушающий на 2 сек. в области вокруг цели."
Ability_Hammerstorm1_tooltip_flavor,К соревнованиям по метанию молота готов!
Ability_Hammerstorm2_name,Galvanize
Ability_Hammerstorm2_description,"Все слабаки по сравнению с Hammerstorm. К счастью, его крутость настолько велика, что своим кличем он способен усилить броню и скорость передвижения своих нерадивых союзников."
Ability_Hammerstorm2_description_simple,"Активируйте для увеличения ^oброни на {3,6,9,12} ед.^* и ^oскорости передвижения на 14%^* вашему герою и союзникам поблизости на 6 сек."
Ability_Hammerstorm2_effect_header,Galvanize
Ability_Hammerstorm2_IMPACT_effect,Накладывает эффект Galvanize на цели в радиусе на 6 сек.
Ability_Hammerstorm2_IMPACT_effect:Alt2_Sin_Set_Bonus,Накладывает эффект Galvanize на цели в радиусе на 6 сек.
Ability_Hammerstorm2_tooltip_flavor,"Я круче, чем вареное яйцо!"
State_Hammerstorm_Ability2_name,Galvanize
Ability_Hammerstorm3_name,Mighty Swing
Ability_Hammerstorm3_description,"Hammerstorm неистово размахивает молотом, задевая ударами врагов рядом с основной целью."
Ability_Hammerstorm3_description_simple,"Пассивно атаки героя наносят ^o{25,50,75,100}% урона по области^*."
